"Label","site_id","Ecosystem","GAP_No","WeatherFolder","X_WGS84","Y_WGS84","ELEV_m","ASPECT","SLOPE","Include_YN"
"MS1_sbs_0001_5257",1,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0001_5257_data_48.9375_-119.4375",-119.472828721,48.8928050047,699,152,19,1
"MS1_sbs_0002_5454",2,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0002_5454_data_48.6875_-119.6875",-119.681848547,48.6706457089,718,331,30,1
"MS1_sbs_0003_5257",3,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-119.427322554,48.4142649817,628,338,7,0
"MS1_sbs_0004_5257",4,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-117.858801716,48.4172254993,489,338,2,0
"MS1_sbs_0005_5257",5,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-119.090030747,48.1781930633,659,262,15,0
"MS1_sbs_0006_5454",6,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-119.453266298,48.1073814986,454,260,6,0
"MS1_sbs_0007_5454",7,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0007_5454_data_48.1875_-119.1875",-119.244719,48.1258998946,415,202,2,1
"MS1_sbs_0008_5257",8,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0008_5257_data_48.0625_-119.5625",-119.616645181,48.0096077274,316,146,1,1
"MS1_sbs_0009_5257",9,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-119.365064816,47.9864313741,692,187,1,0
"MS1_sbs_0010_5455",10,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,"MS1_sbs_0010_5455_data_48.1875_-118.1875",-118.162250013,48.1779987248,618,336,27,1
"MS1_sbs_0011_5454",11,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-120.285120096,47.7959778713,737,222,24,0
"MS1_sbs_0012_5455",12,"Inter-Mountain Basins Montane Sagebrush Steppe",5455,NA,-120.332788837,47.6618737395,747,77,21,0
"MS1_sbs_0013_5454",13,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-119.442616732,47.7600206427,662,-1,0,0
"MS1_sbs_0014_5454",14,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0014_5454_data_47.8125_-118.3125",-118.276451997,47.8054021829,549,184,22,1
"MS1_sbs_0015_5257",15,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-120.121911171,47.4158225587,900,126,15,0
"MS1_sbs_0016_5454",16,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-120.069292793,47.3758376572,477,346,33,0
"MS1_sbs_0017_5257",17,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0017_5257_data_47.3125_-120.0625",-120.038095291,47.3037325259,249,17,1,1
"MS1_sbs_0018_5257",18,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-119.509288246,47.349325116,383,14,0,0
"MS1_sbs_0019_5257",19,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0019_5257_data_47.3125_-119.8125",-119.799482082,47.2907490552,564,184,4,1
"MS1_sbs_0020_5454",20,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-119.10726309,47.3594760722,447,342,3,0
"MS1_sbs_0021_5257",21,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,NA,-119.544127727,47.2758076971,382,192,4,0
"MS1_sbs_0022_5454",22,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-119.34201863,47.2277426892,374,117,1,0
"MS1_sbs_0023_5257",23,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0023_5257_data_47.1875_-119.4375",-119.396463637,47.2144163499,356,188,1,1
"MS1_sbs_0024_5454",24,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0024_5454_data_48.5625_-108.9375",-108.930899808,48.5639135617,727,277,3,1
"MS1_sbs_0025_5454",25,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0025_5454_data_47.4375_-118.0625",-118.0766188,47.3875856694,641,316,4,1
"MS1_sbs_0026_5454",26,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-120.082891701,47.0169690765,422,219,12,0
"MS1_sbs_0027_5454",27,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-120.13612921,46.9211826796,694,331,4,0
"MS1_sbs_0028_5454",28,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0028_5454_data_48.3125_-109.8125",-109.874556308,48.3353445439,932,6,2,1
"MS1_sbs_0029_5454",29,"Inter-Mountain Basins Big Sagebrush Steppe",5454,NA,-117.678939921,47.3212003156,679,5,4,0
"MS1_sbs_0030_5454",30,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0030_5454_data_46.8125_-120.3125",-120.321140828,46.8435942235,745,167,7,1
"MS1_sbs_0031_5257",31,"Inter-Mountain Basins Big Sagebrush Shrubland",5257,"MS1_sbs_0031_5257_data_46.8125_-120.5625",-120.540736147,46.7907581482,696,242,5,1
"MS1_sbs_0032_5454",32,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0032_5454_data_46.8125_-120.0625",-120.007336099,46.8518551554,468,359,13,1
"MS1_sbs_0033_5454",33,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0033_5454_data_46.8125_-120.4375",-120.414589825,46.7697788833,551,263,7,1
"MS1_sbs_0034_5454",34,"Inter-Mountain Basins Big Sagebrush Steppe",5454,"MS1_sbs_0034_5454_data_48.3125_-108.5625",-108.532637407,48.3476306822,766,17,2,1
